Vehicles to enrich with complaints: 1071

[1/1071] 2018 Acura MDX  ->  153 complaints, 0 new
[154/1071] 2005 Chevrolet Suburban  ->  229 complaints, 0 new
[155/1071] 2005 Chevrolet Tahoe  ->  291 complaints, 0 new
[156/1071] 2006 Chevrolet Colorado  ->  236 complaints, 0 new
[157/1071] 2006 Chevrolet Equinox  ->  695 complaints, 0 new
[158/1071] 2006 Chevrolet Silverado 1500  ->  0 complaints, 0 new
[159/1071] 2006 Chevrolet Suburban  ->  56 complaints, 0 new
[160/1071] 2006 Chevrolet Tahoe  ->  114 complaints, 0 new
[161/1071] 2008 Chevrolet Silverado 1500  ->  0 complaints, 0 new
[162/1071] 2009 Chevrolet Silverado 1500  ->  520 complaints, 0 new
[163/1071] 2012 Chevrolet Silverado 1500  ->  281 complaints, 0 new
[164/1071] 2016 Chevrolet Silverado 1500  ->  789 complaints, 0 new
[165/1071] 2017 Chevrolet Silverado 1500  ->  831 complaints, 0 new
[166/1071] 2018 Chevrolet Silverado 1500  ->  501 complaints, 0 new
[167/1071] 2020 Chevrolet Blazer  ->  195 complaints, 0 new
[168/1071] 2020 Chevrolet Colorado  ->  78 complaints, 0 new
[169/1071] 2020 Chevrolet Equinox  ->  274 complaints, 0 new
[170/1071] 2020 Chevrolet Malibu  ->  188 complaints, 0 new
[171/1071] 2020 Chevrolet Silverado 1500  ->  660 complaints, 0 new
[172/1071] 2020 Chevrolet Suburban  ->  0 complaints, 0 new
[173/1071] 2020 Chevrolet Tahoe  ->  50 complaints, 0 new
[174/1071] 2020 Chevrolet Traverse  ->  206 complaints, 0 new
[175/1071] 2020 Chevrolet Trax  ->  86 complaints, 0 new
[176/1071] 2021 Chevrolet Blazer  ->  118 complaints, 0 new
[177/1071] 2021 Chevrolet Colorado  ->  64 complaints, 0 new
[178/1071] 2021 Chevrolet Equinox  ->  80 complaints, 0 new
[179/1071] 2021 Chevrolet Malibu  ->  74 complaints, 0 new
[180/1071] 2021 Chevrolet Silverado 1500  ->  721 complaints, 0 new
[181/1071] 2021 Chevrolet Suburban  ->  168 complaints, 0 new
[182/1071] 2021 Chevrolet Tahoe  ->  406 complaints, 0 new
[183/1071] 2021 Chevrolet Trailblazer  ->  172 complaints, 0 new
[184/1071] 2021 Chevrolet Traverse  ->  84 complaints, 0 new
[185/1071] 2021 Chevrolet Trax  ->  21 complaints, 0 new
[186/1071] 2022 Chevrolet Blazer  ->  38 complaints, 0 new
[187/1071] 2022 Chevrolet Bolt EUV  ->  21 complaints, 0 new
[188/1071] 2022 Chevrolet Bolt EV  ->  58 complaints, 0 new
[189/1071] 2022 Chevrolet Equinox  ->  147 complaints, 0 new
[190/1071] 2022 Chevrolet Silverado 1500  ->  531 complaints, 0 new
[191/1071] 2022 Chevrolet Suburban  ->  100 complaints, 0 new
[192/1071] 2022 Chevrolet Tahoe  ->  169 complaints, 0 new
[193/1071] 2023 Chevrolet Bolt EUV  ->  101 complaints, 0 new
[194/1071] 2023 Chevrolet Bolt EV  ->  51 complaints, 0 new
[195/1071] 2023 Chevrolet Equinox  ->  80 complaints, 0 new
[196/1071] 2023 Chevrolet Silverado 1500  ->  319 complaints, 0 new
[197/1071] 2024 Chevrolet Blazer  ->  35 complaints, 0 new
[198/1071] 2024 Chevrolet Colorado  ->  109 complaints, 0 new
[199/1071] 2024 Chevrolet Equinox  ->  56 complaints, 0 new
[200/1071] 2024 Chevrolet Silverado 1500  ->  258 complaints, 0 new
[201/1071] 2024 Chevrolet Suburban  ->  35 complaints, 0 new
[202/1071] 2024 Chevrolet Tahoe  ->  57 complaints, 0 new
[203/1071] 2024 Chevrolet Traverse  ->  120 complaints, 0 new
[204/1071] 2024 Chevrolet Trax  ->  151 complaints, 0 new
[205/1071] 2018 Chrysler Pacifica  ->  793 complaints, 0 new
[206/1071] 2019 Chrysler Pacifica  ->  326 complaints, 0 new
[207/1071] 2020 Chrysler 300  ->  10 complaints, 0 new
[208/1071] 2020 Chrysler Pacifica  ->  157 complaints, 0 new
[209/1071] 2021 Chrysler 300  ->  19 complaints, 0 new
[210/1071] 2021 Chrysler Pacifica  ->  340 complaints, 0 new
[211/1071] 2022 Chrysler 300  ->  5 complaints, 0 new
[212/1071] 2024 Chrysler Pacifica  ->  33 complaints, 0 new
[213/1071] 2003 Dodge Durango  ->  338 complaints, 0 new
[214/1071] 2003 Dodge Neon  ->  202 complaints, 0 new
[215/1071] 2003 Dodge Stratus  ->  91 complaints, 0 new
[216/1071] 2004 Dodge Caravan  ->  64 complaints, 0 new
[217/1071] 2004 Dodge Durango  ->  1114 complaints, 0 new
[218/1071] 2004 Dodge Neon  ->  94 complaints, 0 new
[219/1071] 2004 Dodge Stratus  ->  144 complaints, 0 new
[220/1071] 2005 Dodge Durango  ->  1567 complaints, 0 new
[221/1071] 2006 Dodge Charger  ->  1293 complaints, 0 new
[222/1071] 2006 Dodge Durango  ->  850 complaints, 0 new
[223/1071] 2018 Dodge Challenger  ->  73 complaints, 0 new
[224/1071] 2018 Dodge Charger  ->  122 complaints, 0 new
[225/1071] 2018 Dodge Durango  ->  225 complaints, 0 new
[226/1071] 2019 Dodge Challenger  ->  55 complaints, 0 new
[227/1071] 2019 Dodge Charger  ->  118 complaints, 0 new
[228/1071] 2019 Dodge Durango  ->  136 complaints, 0 new
[229/1071] 2020 Dodge Challenger  ->  20 complaints, 0 new
[230/1071] 2020 Dodge Charger  ->  54 complaints, 0 new
[231/1071] 2020 Dodge Durango  ->  53 complaints, 0 new
[232/1071] 2020 Dodge Journey  ->  60 complaints, 0 new
[233/1071] 2021 Dodge Challenger  ->  17 complaints, 0 new
[234/1071] 2021 Dodge Charger  ->  29 complaints, 0 new
[235/1071] 2021 Dodge Durango  ->  177 complaints, 0 new
[236/1071] 2022 Dodge Durango  ->  50 complaints, 0 new
[237/1071] 2024 Dodge Charger  ->  5 complaints, 0 new
[238/1071] 2024 Dodge Durango  ->  8 complaints, 0 new
[239/1071] 2021 Ferrari Roma  ->  0 complaints, 0 new
[240/1071] 2022 Ferrari Roma  ->  0 complaints, 0 new
[241/1071] 2003 Ford Escape  ->  598 complaints, 0 new
[242/1071] 2003 Ford Expedition  ->  655 complaints, 0 new
[243/1071] 2003 Ford Explorer  ->  1313 complaints, 0 new
[244/1071] 2003 Ford F-150  ->  461 complaints, 0 new
[245/1071] 2003 Ford Focus  ->  1017 complaints, 0 new
[246/1071] 2003 Ford Mustang  ->  269 complaints, 0 new
[247/1071] 2003 Ford Ranger  ->  243 complaints, 0 new
[248/1071] 2004 Ford Escape  ->  499 complaints, 0 new
[249/1071] 2004 Ford Expedition  ->  296 complaints, 0 new
[250/1071] 2004 Ford Explorer  ->  1408 complaints, 0 new
[251/1071] 2004 Ford F-150  ->  2034 complaints, 0 new
[252/1071] 2004 Ford Focus  ->  387 complaints, 0 new
[253/1071] 2004 Ford Mustang  ->  129 complaints, 0 new
[254/1071] 2004 Ford Ranger  ->  404 complaints, 0 new
[255/1071] 2005 Ford Escape  ->  1584 complaints, 0 new
[256/1071] 2005 Ford Explorer  ->  568 complaints, 0 new
[257/1071] 2005 Ford F-150  ->  1120 complaints, 0 new
[258/1071] 2005 Ford Mustang  ->  868 complaints, 0 new
[259/1071] 2006 Ford Escape  ->  720 complaints, 0 new
[260/1071] 2006 Ford Explorer  ->  635 complaints, 0 new
[261/1071] 2006 Ford F-150  ->  587 complaints, 0 new
[262/1071] 2006 Ford Mustang  ->  573 complaints, 0 new
[263/1071] 2007 Ford F-150  ->  491 complaints, 0 new
[264/1071] 2008 Ford Escape  ->  2413 complaints, 0 new
[265/1071] 2008 Ford F-150  ->  368 complaints, 0 new
[266/1071] 2009 Ford Escape  ->  1690 complaints, 0 new
[267/1071] 2009 Ford F-150  ->  323 complaints, 0 new
[268/1071] 2010 Ford F-150  ->  0 complaints, 0 new
[269/1071] 2013 Ford F-150  ->  0 complaints, 0 new
[270/1071] 2014 Ford F-150  ->  0 complaints, 0 new
[271/1071] 2015 Ford F-150  ->  0 complaints, 0 new
[272/1071] 2016 Ford F-150  ->  0 complaints, 0 new
[273/1071] 2017 Ford F-150  ->  0 complaints, 0 new
[274/1071] 2018 Ford F-150  ->  0 complaints, 0 new
[275/1071] 2019 Ford F-150  ->  0 complaints, 0 new
[276/1071] 2020 Ford Edge  ->  275 complaints, 0 new
[277/1071] 2020 Ford Escape  ->  1429 complaints, 0 new
[278/1071] 2020 Ford Expedition  ->  343 complaints, 0 new
[279/1071] 2020 Ford Explorer  ->  1132 complaints, 0 new
[280/1071] 2020 Ford F-150  ->  0 complaints, 0 new
[281/1071] 2020 Ford Mustang  ->  113 complaints, 0 new
[282/1071] 2020 Ford Ranger  ->  116 complaints, 0 new
[283/1071] 2020 Ford Transit  ->  79 complaints, 0 new
[284/1071] 2021 Ford Bronco  ->  210 complaints, 0 new
[285/1071] 2021 Ford Edge  ->  93 complaints, 0 new
[286/1071] 2021 Ford Escape  ->  298 complaints, 0 new
[287/1071] 2021 Ford Expedition  ->  195 complaints, 0 new
[288/1071] 2021 Ford Explorer  ->  381 complaints, 0 new
[289/1071] 2021 Ford F-150  ->  0 complaints, 0 new
[290/1071] 2021 Ford Mustang  ->  54 complaints, 0 new
[291/1071] 2021 Ford Mustang Mach-E  ->  331 complaints, 0 new
[292/1071] 2021 Ford Ranger  ->  0 complaints, 0 new
[293/1071] 2021 Ford Transit  ->  0 complaints, 0 new
[294/1071] 2022 Ford Bronco  ->  324 complaints, 0 new
[295/1071] 2022 Ford Edge  ->  114 complaints, 0 new
[296/1071] 2022 Ford Escape  ->  204 complaints, 0 new
[297/1071] 2022 Ford Expedition  ->  102 complaints, 0 new
[298/1071] 2022 Ford Explorer  ->  230 complaints, 0 new
[299/1071] 2022 Ford F-150  ->  0 complaints, 0 new
[300/1071] 2022 Ford Maverick  ->  140 complaints, 0 new
[301/1071] 2022 Ford Mustang  ->  44 complaints, 0 new
[302/1071] 2022 Ford Mustang Mach-E  ->  122 complaints, 0 new
[303/1071] 2022 Ford Ranger  ->  0 complaints, 0 new
[304/1071] 2022 Ford Transit  ->  0 complaints, 0 new
[305/1071] 2022 Ford Transit Connect  ->  0 complaints, 0 new
[306/1071] 2023 Ford Bronco  ->  208 complaints, 0 new
[307/1071] 2023 Ford Escape  ->  87 complaints, 0 new
[308/1071] 2023 Ford Explorer  ->  92 complaints, 0 new
[309/1071] 2023 Ford F-150  ->  0 complaints, 0 new
[310/1071] 2023 Ford Maverick  ->  265 complaints, 0 new
[311/1071] 2023 Ford Mustang Mach-E  ->  0 complaints, 0 new
[312/1071] 2023 Ford Transit Connect  ->  0 complaints, 0 new
[313/1071] 2024 Ford Expedition  ->  63 complaints, 0 new
[314/1071] 2024 Ford Explorer  ->  15 complaints, 0 new
[315/1071] 2024 Ford F-150  ->  0 complaints, 0 new
[316/1071] 2024 Ford Maverick  ->  64 complaints, 0 new
[317/1071] 2003 GMC Envoy  ->  640 complaints, 0 new
[318/1071] 2003 GMC Sierra 1500  ->  0 complaints, 0 new
[319/1071] 2003 GMC Yukon  ->  517 complaints, 0 new
[320/1071] 2004 GMC Envoy  ->  374 complaints, 0 new
[321/1071] 2004 GMC Sierra 1500  ->  0 complaints, 0 new
[322/1071] 2004 GMC Yukon  ->  445 complaints, 0 new
[323/1071] 2017 GMC Sierra 1500  ->  425 complaints, 0 new
[324/1071] 2018 GMC Acadia  ->  380 complaints, 0 new
[325/1071] 2018 GMC Sierra 1500  ->  290 complaints, 0 new
[326/1071] 2018 GMC Terrain  ->  209 complaints, 0 new
[327/1071] 2019 GMC Acadia  ->  360 complaints, 0 new
[328/1071] 2019 GMC Sierra 1500  ->  582 complaints, 0 new
[329/1071] 2019 GMC Terrain  ->  174 complaints, 0 new
[330/1071] 2020 GMC Acadia  ->  91 complaints, 0 new
[331/1071] 2020 GMC Canyon  ->  13 complaints, 0 new
[332/1071] 2020 GMC Sierra 1500  ->  421 complaints, 0 new
[333/1071] 2020 GMC Terrain  ->  171 complaints, 0 new
[334/1071] 2020 GMC Yukon  ->  29 complaints, 0 new
[335/1071] 2021 GMC Acadia  ->  139 complaints, 0 new
[336/1071] 2021 GMC Canyon  ->  10 complaints, 0 new
[337/1071] 2021 GMC Sierra 1500  ->  479 complaints, 0 new
[338/1071] 2021 GMC Terrain  ->  31 complaints, 0 new
[339/1071] 2021 GMC Yukon  ->  273 complaints, 0 new
[340/1071] 2022 GMC Canyon  ->  22 complaints, 0 new
[341/1071] 2022 GMC Sierra 1500  ->  513 complaints, 0 new
[342/1071] 2022 GMC Yukon  ->  147 complaints, 0 new
[343/1071] 2023 GMC Sierra 1500  ->  380 complaints, 0 new
[344/1071] 2024 GMC Acadia  ->  52 complaints, 0 new
[345/1071] 2024 GMC Canyon  ->  204 complaints, 0 new
[346/1071] 2024 GMC Sierra 1500  ->  291 complaints, 0 new
[347/1071] 2024 GMC Terrain  ->  42 complaints, 0 new
[348/1071] 2024 GMC Yukon  ->  133 complaints, 0 new
[349/1071] 2020 Genesis G80  ->  0 complaints, 0 new
[350/1071] 2021 Genesis G80  ->  9 complaints, 0 new
[351/1071] 2021 Genesis GV80  ->  53 complaints, 0 new
[352/1071] 2022 Genesis G80  ->  6 complaints, 0 new
[353/1071] 2022 Genesis GV70  ->  83 complaints, 0 new
[354/1071] 2022 Genesis GV80  ->  40 complaints, 0 new
[355/1071] 2023 Genesis G70  ->  18 complaints, 0 new
[356/1071] 2023 Genesis G80  ->  8 complaints, 0 new
[357/1071] 2023 Genesis GV60  ->  55 complaints, 0 new
[358/1071] 2023 Genesis GV70  ->  53 complaints, 0 new
[359/1071] 2023 Genesis GV80  ->  34 complaints, 0 new
[360/1071] 2024 Genesis G80  ->  1 complaints, 0 new
[361/1071] 2024 Genesis GV60  ->  14 complaints, 0 new
[362/1071] 2024 Genesis GV70  ->  17 complaints, 0 new
[363/1071] 2024 Genesis GV80  ->  16 complaints, 0 new
[364/1071] 2003 Honda Accord  ->  2011 complaints, 0 new
[365/1071] 2003 Honda CR-V  ->  493 complaints, 0 new
[366/1071] 2003 Honda Civic  ->  524 complaints, 0 new
[367/1071] 2003 Honda Element  ->  449 complaints, 0 new
[368/1071] 2003 Honda Odyssey  ->  939 complaints, 0 new
[369/1071] 2003 Honda Pilot  ->  746 complaints, 0 new
[370/1071] 2004 Honda Accord  ->  1016 complaints, 0 new
[371/1071] 2004 Honda CR-V  ->  501 complaints, 0 new
[372/1071] 2004 Honda Civic  ->  350 complaints, 0 new
[373/1071] 2004 Honda Element  ->  281 complaints, 0 new
[374/1071] 2004 Honda Odyssey  ->  584 complaints, 0 new
[375/1071] 2004 Honda Pilot  ->  544 complaints, 0 new
[376/1071] 2005 Honda Accord  ->  686 complaints, 0 new
[377/1071] 2005 Honda CR-V  ->  477 complaints, 0 new
[378/1071] 2005 Honda Civic  ->  314 complaints, 0 new
[379/1071] 2005 Honda Odyssey  ->  829 complaints, 0 new
[380/1071] 2005 Honda Pilot  ->  678 complaints, 0 new
[381/1071] 2006 Honda Accord  ->  430 complaints, 0 new
[382/1071] 2006 Honda CR-V  ->  398 complaints, 0 new
[383/1071] 2006 Honda Civic  ->  1402 complaints, 0 new
[384/1071] 2006 Honda Odyssey  ->  703 complaints, 0 new
[385/1071] 2006 Honda Pilot  ->  266 complaints, 0 new
[386/1071] 2007 Honda Accord  ->  524 complaints, 0 new
[387/1071] 2007 Honda CR-V  ->  884 complaints, 0 new
[388/1071] 2007 Honda Civic  ->  1203 complaints, 0 new
[389/1071] 2008 Honda Accord  ->  1519 complaints, 0 new
[390/1071] 2008 Honda CR-V  ->  958 complaints, 0 new
[391/1071] 2008 Honda Civic  ->  913 complaints, 0 new
[392/1071] 2009 Honda Accord  ->  720 complaints, 0 new
[393/1071] 2009 Honda CR-V  ->  386 complaints, 0 new
[394/1071] 2009 Honda Civic  ->  393 complaints, 0 new
[395/1071] 2010 Honda Accord  ->  579 complaints, 0 new
[396/1071] 2010 Honda Civic  ->  396 complaints, 0 new
[397/1071] 2012 Honda Accord  ->  377 complaints, 0 new
[398/1071] 2012 Honda Civic  ->  452 complaints, 0 new
[399/1071] 2015 Honda Accord  ->  588 complaints, 0 new
[400/1071] 2015 Honda Civic  ->  376 complaints, 0 new
[401/1071] 2016 Honda Accord  ->  577 complaints, 0 new
[402/1071] 2016 Honda CR-V  ->  386 complaints, 0 new
[403/1071] 2016 Honda Civic  ->  1042 complaints, 0 new
[404/1071] 2017 Honda Accord  ->  516 complaints, 0 new
[405/1071] 2017 Honda CR-V  ->  1718 complaints, 0 new
[406/1071] 2017 Honda Civic  ->  567 complaints, 0 new
[407/1071] 2018 Honda Accord  ->  1736 complaints, 0 new
[408/1071] 2018 Honda CR-V  ->  2026 complaints, 0 new
[409/1071] 2018 Honda Civic  ->  603 complaints, 0 new
[410/1071] 2020 Honda Accord  ->  324 complaints, 0 new
[411/1071] 2020 Honda CR-V  ->  319 complaints, 0 new
[412/1071] 2020 Honda Civic  ->  211 complaints, 0 new
[413/1071] 2020 Honda Clarity  ->  0 complaints, 0 new
[414/1071] 2020 Honda Fit  ->  32 complaints, 0 new
[415/1071] 2020 Honda HR-V  ->  79 complaints, 0 new
[416/1071] 2020 Honda Insight  ->  29 complaints, 0 new
[417/1071] 2020 Honda Odyssey  ->  390 complaints, 0 new
[418/1071] 2020 Honda Passport  ->  86 complaints, 0 new
[419/1071] 2020 Honda Pilot  ->  453 complaints, 0 new
[420/1071] 2020 Honda Ridgeline  ->  159 complaints, 0 new
[421/1071] 2021 Honda Accord  ->  190 complaints, 0 new
[422/1071] 2021 Honda CR-V  ->  284 complaints, 0 new
[423/1071] 2021 Honda Civic  ->  128 complaints, 0 new
[424/1071] 2021 Honda Clarity  ->  0 complaints, 0 new
[425/1071] 2021 Honda HR-V  ->  58 complaints, 0 new
[426/1071] 2021 Honda Insight  ->  23 complaints, 0 new
[427/1071] 2021 Honda Odyssey  ->  115 complaints, 0 new
